23220	92.90	1.73	1.11	51.07	0.60	1.003	0.000	1	16
23221	87.20	1.25	1.57	49.65	0.49	1.003	0.000	1	31
23222	91.54	2.06	0.71	49.82	0.76	1.003	0.000	1	10
23224	89.14	0.76	1.27	49.99	0.29	1.003	0.000	1	42
23225	89.20	0.63	0.70	49.91	0.24	1.003	0.000	1	61
23226	87.72	0.82	1.38	49.62	0.32	1.003	0.000	1	35
23227	88.32	0.85	1.01	50.15	0.32	1.003	0.000	1	35
23230	89.06	0.85	1.17	49.91	0.32	1.003	0.000	1	33
23231	87.92	0.80	1.15	50.02	0.30	1.003	0.000	1	35
23232	89.86	0.90	0.95	50.44	0.32	1.003	0.000	1	32
23233	91.00	1.04	1.41	50.76	0.36	1.003	0.000	1	30
23234	88.86	0.77	0.85	50.01	0.29	1.003	0.000	1	36
23235	90.38	0.82	0.82	50.52	0.30	1.003	0.000	1	43
23236	88.43	0.98	0.80	50.02	0.37	1.003	0.000	1	32
23237	88.39	0.91	1.07	49.91	0.35	1.003	0.000	1	38
23238	85.96	0.96	1.22	48.99	0.39	1.003	0.000	1	34
23240	88.45	0.84	0.90	49.49	0.33	1.003	0.000	1	42
23243	88.83	0.77	1.25	50.25	0.28	1.003	0.000	1	34
23244	88.01	0.74	1.42	49.93	0.27	1.003	0.000	1	36
23245	88.69	0.71	1.42	50.22	0.25	1.003	0.000	1	36
23246	88.62	1.27	1.16	49.87	0.46	1.003	0.000	1	35
23259	90.21	2.03	1.26	50.66	0.71	1.003	0.000	1	5
23260	89.74	0.80	0.85	50.30	0.29	1.003	0.000	1	36
23261	89.02	0.76	0.69	50.28	0.27	1.003	0.000	1	37
23262	89.29	0.82	0.97	50.40	0.29	1.003	0.000	1	35
23263	88.25	1.22	1.52	50.47	0.44	1.003	0.000	1	16
23264	88.78	0.84	1.83	50.14	0.31	1.003	0.000	1	34
23265	89.01	0.85	1.13	50.68	0.30	1.003	0.000	1	36
23266	88.94	0.82	1.03	50.52	0.30	1.003	0.000	1	36
23267	87.87	0.80	0.93	50.05	0.30	1.003	0.000	1	35
23269	86.88	1.01	1.28	49.07	0.41	1.003	0.000	1	30
23270	88.84	1.83	1.19	49.26	0.71	1.003	0.000	1	9
23271	88.16	0.93	1.15	49.40	0.36	1.003	0.000	1	35
23272	90.23	0.89	0.96	50.40	0.33	1.003	0.000	1	36
23274	87.81	2.12	0.63	49.81	0.81	1.003	0.000	1	33
23281	88.72	0.96	1.24	49.68	0.36	1.003	0.000	1	34
23282	89.02	0.76	0.87	49.79	0.27	1.003	0.000	1	36
23283	88.87	0.73	0.73	50.00	0.26	1.003	0.000	1	36
23284	88.06	0.71	0.84	49.20	0.26	1.003	0.000	1	36
23285	88.82	0.74	1.02	49.79	0.27	1.003	0.000	1	36
23286	88.24	0.80	1.36	49.97	0.29	1.003	0.000	1	32
23287	88.07	0.76	1.00	49.87	0.27	1.003	0.000	1	33
23288	88.40	0.73	0.89	49.57	0.27	1.003	0.000	1	34
23289	88.30	0.73	0.89	49.68	0.27	1.003	0.000	1	36
23290	86.29	0.84	1.33	48.86	0.32	1.003	0.000	1	30
23291	88.05	0.71	0.82	49.90	0.26	1.003	0.000	1	35
23292	88.89	0.68	1.58	49.82	0.24	1.003	0.000	1	35
23293	88.63	0.73	1.34	49.83	0.26	1.003	0.000	1	31
23294	88.11	0.66	1.42	49.80	0.24	1.003	0.000	1	37
23295	88.18	0.65	0.73	49.93	0.23	1.003	0.000	1	34
23296	87.83	0.70	0.65	49.69	0.25	1.003	0.000	1	33
23298	87.90	0.70	0.87	49.47	0.26	1.003	0.000	1	32
23299	89.49	0.68	0.93	49.85	0.24	1.003	0.000	1	36
23300	89.00	0.66	0.79	50.20	0.24	1.003	0.000	1	36
23302	88.75	0.92	0.94	49.62	0.33	1.003	0.000	1	18
23304	88.84	0.70	0.91	50.03	0.25	1.003	0.000	1	32
23305	88.88	0.65	1.07	50.27	0.23	1.003	0.000	1	36
23306	87.88	0.63	1.44	49.87	0.23	1.003	0.000	1	36
23307	88.69	0.76	1.09	49.84	0.28	1.003	0.000	1	25
23309	88.43	0.68	1.34	50.13	0.25	1.003	0.000	1	33
23310	88.63	0.73	1.24	50.46	0.26	1.003	0.000	1	28
23311	89.55	1.21	1.24	50.69	0.43	1.003	0.000	1	11
23312	89.16	0.65	1.44	50.67	0.23	1.003	0.000	1	35
23313	87.64	0.63	1.18	50.32	0.23	1.003	0.000	1	36
23314	88.71	0.77	0.86	50.54	0.27	1.003	0.000	1	25
23315	88.95	0.66	0.94	50.61	0.24	1.003	0.000	1	35
23316	88.53	0.68	1.09	50.91	0.24	1.003	0.000	1	35
23318	87.02	0.88	1.09	49.11	0.35	1.003	0.000	1	27
23321	88.33	0.71	0.94	49.19	0.26	1.003	0.000	1	33
23323	87.88	1.19	1.07	48.68	0.46	1.003	0.000	1	11
23325	89.22	0.69	1.33	49.46	0.26	1.003	0.000	1	34
23327	88.80	0.84	1.03	49.13	0.32	1.003	0.000	1	27
23328	89.22	0.79	1.09	49.32	0.30	1.003	0.000	1	28
23329	87.45	1.07	1.24	49.23	0.41	1.003	0.000	1	19
23330	89.70	0.90	1.29	49.52	0.33	1.003	0.000	1	28
23331	88.22	2.69	0.83	47.92	1.09	1.003	0.000	1	3
23332	91.16	0.77	0.84	50.06	0.28	1.003	0.000	1	36
23333	86.99	0.75	1.07	48.82	0.30	1.003	0.000	1	36
23334	87.68	0.77	1.21	48.86	0.30	1.003	0.000	1	36
23335	88.02	0.77	1.38	49.30	0.29	1.003	0.000	1	35
23336	91.28	1.83	1.15	49.83	0.68	1.003	0.000	1	13
23337	88.37	1.10	0.79	48.80	0.42	1.003	0.000	1	30
23342	89.29	1.08	0.60	50.14	0.40	1.003	0.000	1	18
23343	88.28	0.46	1.29	49.56	0.17	1.003	0.000	1	98
23345	87.86	0.85	0.95	49.59	0.32	1.003	0.000	1	36
23346	87.58	0.81	1.39	49.53	0.31	1.003	0.000	1	39
23347	86.74	0.88	0.66	49.40	0.34	1.003	0.000	1	37
23348	89.28	1.06	1.18	49.75	0.40	1.003	0.000	1	29
23349	88.78	1.01	1.09	49.44	0.39	1.003	0.000	1	36
23350	88.23	1.12	1.15	49.53	0.44	1.003	0.000	1	33
23351	90.19	0.97	1.37	49.87	0.36	1.003	0.000	1	36
23352	87.77	0.89	0.97	48.83	0.35	1.003	0.000	1	35
23353	89.05	0.89	0.95	49.42	0.34	1.003	0.000	1	36
23354	89.97	0.97	0.85	49.88	0.37	1.003	0.000	1	36
23355	87.85	1.07	1.29	49.08	0.42	1.003	0.000	1	29
23356	89.14	0.92	0.95	49.84	0.34	1.003	0.000	1	40
23357	89.15	1.16	0.72	49.33	0.44	1.003	0.000	1	20
23371	89.15	0.56	1.01	50.23	0.21	1.003	0.000	1	60
23372	89.01	0.71	1.10	50.29	0.27	1.003	0.000	1	37
23373	89.36	0.72	1.14	50.81	0.26	1.003	0.000	1	37
23374	89.37	0.75	1.09	50.53	0.28	1.003	0.000	1	32
23375	89.29	0.74	1.03	50.42	0.28	1.003	0.000	1	34
23376	88.90	0.75	0.60	50.40	0.28	1.003	0.000	1	30
23389	89.11	0.77	1.05	49.51	0.28	1.003	0.000	1	35
23390	89.64	1.59	0.88	49.67	0.58	1.003	0.000	1	9
23391	88.53	0.80	0.87	49.59	0.29	1.003	0.000	1	33
23392	87.75	0.79	1.57	49.37	0.29	1.003	0.000	1	33
23395	89.54	0.89	1.00	49.62	0.32	1.003	0.000	1	25
23396	89.21	0.72	0.56	49.77	0.26	1.003	0.000	1	38
23397	87.54	0.77	1.20	49.34	0.29	1.003	0.000	1	34
23398	88.73	0.75	1.72	49.82	0.27	1.003	0.000	1	35
23399	89.08	0.88	1.50	49.89	0.32	1.003	0.000	1	26
23400	86.24	0.99	1.35	48.65	0.39	1.003	0.000	1	20
23401	89.07	0.89	1.04	49.49	0.33	1.003	0.000	1	25
23402	85.35	1.40	1.18	48.93	0.55	1.003	0.000	1	11
23403	88.65	0.85	1.38	49.82	0.31	1.003	0.000	1	31
23404	88.96	0.97	1.37	49.89	0.35	1.003	0.000	1	24
23406	87.43	0.90	1.19	49.08	0.34	1.003	0.000	1	28
23407	87.13	0.83	1.29	48.74	0.33	1.003	0.000	1	24
23410	88.11	0.65	0.75	49.27	0.24	1.003	0.000	1	47
23411	89.49	1.91	1.35	50.44	0.67	1.003	0.000	1	6
23412	89.44	0.84	0.94	49.24	0.31	1.003	0.000	1	31
23413	88.93	0.81	1.04	49.01	0.30	1.003	0.000	1	35
23414	87.70	0.63	0.93	48.53	0.24	1.003	0.000	1	57
23415	88.82	0.90	1.59	49.18	0.33	1.003	0.000	1	26
23416	88.02	0.76	0.90	48.77	0.28	1.003	0.000	1	35
23417	88.40	0.77	1.18	48.60	0.29	1.003	0.000	1	34
23418	89.27	0.73	1.24	48.70	0.27	1.003	0.000	1	37
23419	87.25	0.75	0.83	48.70	0.28	1.003	0.000	1	36
23420	86.44	0.82	0.63	47.95	0.32	1.003	0.000	1	37
23421	87.46	1.33	1.05	48.14	0.51	1.003	0.000	1	13
23422	86.99	0.78	0.77	48.26	0.30	1.003	0.000	1	41
23424	88.41	0.86	1.05	48.78	0.32	1.003	0.000	1	36
23425	89.81	0.87	0.94	48.81	0.32	1.003	0.000	1	36
23426	86.75	0.84	1.37	48.13	0.33	1.003	0.000	1	36
23427	87.84	0.88	1.06	48.69	0.33	1.003	0.000	1	36
23428	88.59	0.97	1.05	48.55	0.37	1.003	0.000	1	33
23429	89.93	0.91	0.69	49.12	0.33	1.003	0.000	1	36
23430	88.70	0.93	1.20	48.76	0.35	1.003	0.000	1	35
23431	89.47	0.77	1.32	48.98	0.28	1.003	0.000	1	35
23432	87.92	0.70	1.09	48.36	0.26	1.003	0.000	1	36
23433	88.29	0.75	1.29	49.07	0.27	1.003	0.000	1	35
23434	88.55	0.54	1.35	48.64	0.20	1.003	0.000	1	65
23435	89.41	0.74	1.16	49.26	0.27	1.003	0.000	1	36
23436	87.84	0.72	1.45	48.56	0.27	1.003	0.000	1	34
23437	89.85	0.72	1.10	49.27	0.26	1.003	0.000	1	36
23438	88.34	0.74	1.13	49.07	0.27	1.003	0.000	1	35
23439	87.30	0.73	1.21	48.20	0.28	1.003	0.000	1	35
23440	89.19	0.80	0.97	48.92	0.30	1.003	0.000	1	36
23441	89.97	0.77	1.19	48.88	0.28	1.003	0.000	1	36
23442	87.14	1.21	0.50	48.60	0.45	1.003	0.000	1	14
23443	88.99	0.73	1.03	48.93	0.27	1.003	0.000	1	36
23444	90.03	0.74	1.22	48.74	0.27	1.003	0.000	1	36
23445	87.11	0.74	0.79	48.08	0.28	1.003	0.000	1	34
23447	87.75	0.68	1.01	47.94	0.26	1.003	0.000	1	41
23448	87.46	0.72	0.91	48.13	0.27	1.003	0.000	1	36
23450	89.35	0.80	1.62	48.79	0.29	1.003	0.000	1	33
23451	87.01	3.96	0.85	46.89	1.60	1.003	0.000	1	1
23452	90.80	1.54	0.66	49.29	0.54	1.003	0.000	1	8
23454	90.21	0.91	0.49	48.63	0.33	1.003	0.000	1	20
23455	88.69	0.75	1.20	48.13	0.28	1.003	0.000	1	29
23456	87.77	0.66	1.36	48.22	0.25	1.003	0.000	1	35
23457	88.50	0.67	0.97	48.57	0.25	1.003	0.000	1	35
23458	88.64	0.71	1.02	48.34	0.26	1.003	0.000	1	32
23459	89.82	0.66	1.40	48.97	0.23	1.003	0.000	1	37
23460	87.86	0.68	1.24	48.38	0.25	1.003	0.000	1	35
23461	88.58	0.70	1.73	48.81	0.25	1.003	0.000	1	33
23462	89.20	0.70	1.22	48.71	0.26	1.003	0.000	1	34
23463	88.88	0.69	1.06	48.90	0.25	1.003	0.000	1	36
23464	88.57	0.68	0.74	48.60	0.25	1.003	0.000	1	36
23465	88.76	0.55	0.92	48.68	0.20	1.003	0.000	1	53
23466	87.42	0.54	1.10	48.47	0.20	1.003	0.000	1	54
23467	89.19	0.77	1.01	48.89	0.28	1.003	0.000	1	37
23468	89.86	0.69	1.50	49.15	0.25	1.003	0.000	1	45
