23220	50.79	0.58
23221	49.64	0.45
23222	50.08	0.74
23224	50.22	0.27
23225	50.03	0.22
23226	49.82	0.29
23227	50.20	0.30
23230	49.97	0.30
23231	50.03	0.28
23232	50.72	0.30
23233	50.85	0.34
23234	50.19	0.27
23235	50.37	0.28
23236	50.26	0.34
23237	49.84	0.33
23238	49.12	0.36
23240	49.51	0.30
23243	50.35	0.26
23244	49.96	0.26
23245	50.20	0.24
23259	50.67	0.68
23260	50.38	0.27
23261	50.40	0.26
23262	50.52	0.28
23263	50.44	0.43
23264	50.29	0.30
23265	50.67	0.29
23266	50.52	0.29
23267	50.19	0.28
23269	49.25	0.39
23270	49.99	0.65
23271	49.70	0.34
23272	50.15	0.31
23281	49.74	0.36
23282	49.88	0.26
23283	50.18	0.25
23284	49.47	0.25
23285	50.06	0.25
23286	50.07	0.26
23287	49.91	0.26
23288	49.79	0.25
23289	49.79	0.25
23290	49.00	0.31
23291	49.95	0.24
23292	49.94	0.23
23293	49.97	0.25
23294	49.94	0.22
23295	50.05	0.23
23296	49.77	0.25
23298	49.46	0.25
23299	49.95	0.23
23300	50.37	0.22
23302	49.72	0.31
23304	50.15	0.24
23305	50.32	0.22
23306	50.05	0.22
23307	49.88	0.26
23309	50.32	0.24
23315	50.69	0.23
23316	50.98	0.23
23318	49.42	0.33
23321	49.25	0.25
23323	48.58	0.45
23325	49.33	0.24
23327	49.39	0.31
23328	49.35	0.28
23329	49.41	0.38
23330	49.93	0.32
23331	47.97	0.94
23332	50.21	0.27
23333	48.96	0.29
23334	49.16	0.29
23335	49.50	0.28
23336	49.57	0.60
23337	49.23	0.39
23343	49.70	0.17
23345	49.76	0.31
23346	49.77	0.30
23347	49.59	0.34
23348	49.76	0.39
23349	49.58	0.38
23350	49.41	0.41
23351	49.95	0.35
23352	49.08	0.34
23353	49.49	0.33
23354	49.87	0.35
23355	49.09	0.40
23356	49.75	0.33
23357	49.38	0.42
23371	50.35	0.21
23372	50.41	0.25
23373	50.94	0.25
23374	50.61	0.27
23375	50.61	0.26
23376	50.44	0.27
23389	49.69	0.28
23390	49.90	0.55
23391	49.53	0.28
23392	49.55	0.28
23395	49.69	0.31
23396	49.94	0.25
23397	49.41	0.28
23398	49.82	0.26
23399	49.70	0.31
23400	48.84	0.38
23401	49.57	0.32
23402	48.81	0.52
23403	49.84	0.30
23404	50.11	0.33
23406	49.15	0.33
23407	49.14	0.32
23410	49.50	0.23
23411	50.80	0.65
23412	49.19	0.30
23413	49.06	0.29
23414	48.76	0.23
23415	49.28	0.32
23416	48.92	0.27
23417	48.77	0.28
23418	48.80	0.26
23419	48.85	0.28
23420	48.18	0.31
23421	48.60	0.47
23422	48.41	0.29
23424	48.92	0.31
23425	49.02	0.31
23426	48.33	0.32
23427	49.02	0.32
23428	48.73	0.34
23429	49.21	0.32
23430	48.85	0.34
23431	49.08	0.28
23432	48.47	0.26
23433	49.17	0.26
23434	48.74	0.19
23435	49.49	0.26
23436	48.85	0.26
23437	49.39	0.25
23438	49.07	0.26
23439	48.25	0.27
23440	49.12	0.27
23441	49.03	0.27
23442	48.69	0.43
23443	49.13	0.26
23444	48.86	0.26
23445	48.26	0.28
23447	48.01	0.25
23448	48.24	0.27
23450	48.80	0.29
23452	49.15	0.47
23454	48.64	0.32
23455	48.29	0.27
23456	48.37	0.24
23457	48.59	0.24
23458	48.35	0.29
23459	49.03	0.23
23460	48.45	0.24
23461	49.07	0.24
23462	48.91	0.25
23463	48.88	0.24
23464	48.79	0.24
23465	48.80	0.20
23466	48.57	0.21
23467	49.09	0.30
23468	49.34	0.26
23469	48.37	0.28
23470	48.74	0.28
23471	48.18	0.33
23472	49.31	0.30
23473	48.92	0.37
23474	48.51	0.46
23475	49.38	0.29
23476	48.70	0.29
23477	48.62	0.24
23478	48.52	0.31
23479	49.03	0.96
23483	48.84	0.14
23485	48.64	0.26
23486	49.01	0.24
23487	48.92	0.25
23488	49.44	0.25
23489	48.90	0.24
23490	48.66	0.38
23491	48.65	0.27
23492	48.66	0.25
23493	48.71	0.26
23494	48.88	0.25
23495	49.07	0.67
23496	48.47	0.77
23497	48.79	0.28
23498	49.13	0.26
23505	49.38	0.24
23506	49.51	0.25
23507	48.93	0.27
23508	49.45	0.30
23510	49.73	0.28
23511	49.32	0.25
23512	49.19	0.25
23513	49.18	0.26
23514	49.57	0.25
23515	49.62	0.25
23516	49.14	0.25
23517	49.13	0.28
23518	49.29	0.45
23522	49.40	0.45
23523	50.09	0.17
23524	49.58	0.21
23525	49.47	0.24
23526	49.09	0.43
23528	49.46	0.24
23529	49.81	0.24
23530	49.26	0.25
23530	49.26	0.25
