This file contains run/runlet list for all the slugs in run1 after 25 %
mysql> select runlet.run_number,segment_number from runlet, run  where run.run_id=runlet.run_id  and slug=42 and runlet.full_run='false' order by runlet.run_number, segment_number;
+------------+----------------+
| run_number | segment_number |
+------------+----------------+
|       9939 |              0 | 
|       9939 |              1 | 
|       9939 |              2 | 
|       9939 |              3 | 
|       9939 |              4 | 
|       9939 |              5 | 
|       9939 |              6 | 
|       9939 |              7 | 
|       9939 |              8 | 
|       9939 |              9 | 
|       9940 |              0 | 
|       9941 |              0 | 
|       9942 |              0 | 
|       9943 |              0 | 
|       9944 |              0 | 
|       9945 |              0 | 
|       9945 |              1 | 
|       9945 |              2 | 
|       9946 |              0 | 
|       9947 |              0 | 
|       9947 |              1 | 
|       9948 |              0 | 
|       9948 |              1 | 
|       9949 |              0 | 
|       9949 |              1 | 
|       9949 |              2 | 
|       9949 |              3 | 
|       9950 |              0 | 
|       9951 |              0 | 
|       9952 |              0 | 
|       9952 |              1 | 
|       9952 |              2 | 
|       9952 |              3 | 
|       9952 |              4 | 
|       9952 |              5 | 
|       9952 |              6 | 
|       9952 |              7 | 
|       9952 |              8 | 
|       9953 |              0 | 
|       9953 |              1 | 
|       9953 |              2 | 
|       9953 |              3 | 
|       9954 |              0 | 
|       9955 |              0 | 
|       9955 |              1 | 
|       9955 |              2 | 
|       9955 |              3 | 
|       9955 |              4 | 
|       9955 |              5 | 
|       9955 |              6 | 
|       9955 |              7 | 
|       9956 |              0 | 
|       9957 |              0 | 
|       9957 |              1 | 
|       9957 |              2 | 
|       9957 |              3 | 
|       9957 |              4 | 
|       9957 |              5 | 
|       9958 |              0 | 
|       9958 |              1 | 
|       9959 |              0 | 
|       9960 |              0 | 
|       9960 |              1 | 
|       9961 |              0 | 
|       9961 |              1 | 
|       9961 |              2 | 
|       9961 |              3 | 
|       9961 |              4 | 
|       9962 |              0 | 
|       9962 |              1 | 
|       9962 |              2 | 
|       9962 |              3 | 
|       9962 |              4 | 
|       9962 |              5 | 
|       9962 |              6 | 
|       9963 |              0 | 
|       9963 |              1 | 
|       9964 |              0 | 
|       9964 |              1 | 
|       9964 |              2 | 
|       9964 |              3 | 
|       9964 |              4 | 
|       9965 |              0 | 
|       9965 |              1 | 
|       9965 |              2 | 
|       9965 |              3 | 
|       9965 |              4 | 
|       9965 |              5 | 
|       9965 |              6 | 
|       9965 |              7 | 
|       9965 |              8 | 
|       9965 |              9 | 
|       9965 |             10 | 
|       9966 |              0 | 
|       9966 |              1 | 
|       9966 |              2 | 
|       9966 |              3 | 
|       9966 |              4 | 
|       9966 |              5 | 
|       9966 |              6 | 
|       9966 |              7 | 
|       9968 |              0 | 
|       9968 |              1 | 
|       9968 |              2 | 
|       9968 |              3 | 
|       9968 |              4 | 
|       9968 |              5 | 
|       9968 |              6 | 
|       9968 |              7 | 
+------------+----------------+
109 rows in set (0.01 sec)

mysql> select runlet.run_number,segment_number from runlet, run  where run.run_id=runlet.run_id  and slug=43 and runlet.full_run='false' order by runlet.run_number, segment_number;
+------------+----------------+
| run_number | segment_number |
+------------+----------------+
|       9969 |              0 | 
|       9969 |              1 | 
|       9969 |              2 | 
|       9970 |              0 | 
|       9970 |              1 | 
|       9971 |              0 | 
|       9971 |              1 | 
|       9971 |              2 | 
|       9972 |              0 | 
|       9972 |              1 | 
|       9972 |              2 | 
|       9972 |              3 | 
|       9972 |              4 | 
|       9972 |              5 | 
|       9972 |              6 | 
|       9972 |              7 | 
|       9973 |              0 | 
|       9974 |              0 | 
|       9974 |              1 | 
|       9974 |              2 | 
|       9974 |              3 | 
|       9974 |              4 | 
|       9974 |              5 | 
|       9974 |              6 | 
|       9975 |              0 | 
|       9975 |              1 | 
|       9975 |              2 | 
|       9976 |              0 | 
|       9976 |              1 | 
|       9976 |              2 | 
|       9976 |              3 | 
|       9976 |              4 | 
|       9976 |              5 | 
|       9976 |              6 | 
|       9976 |              7 | 
|       9976 |              8 | 
|       9977 |              0 | 
|       9977 |              1 | 
|       9977 |              2 | 
|       9977 |              3 | 
|       9977 |              4 | 
|       9977 |              5 | 
|       9977 |              6 | 
|       9977 |              7 | 
|       9978 |              0 | 
|       9978 |              1 | 
|       9978 |              2 | 
|       9978 |              3 | 
|       9978 |              4 | 
|       9978 |              5 | 
|       9978 |              6 | 
|       9979 |              0 | 
|       9979 |              1 | 
|       9980 |              0 | 
|       9980 |              1 | 
|       9980 |              2 | 
|       9980 |              3 | 
|       9980 |              4 | 
|       9980 |              5 | 
|       9980 |              6 | 
|       9980 |              7 | 
|       9980 |              8 | 
|       9981 |              0 | 
|       9981 |              1 | 
|       9981 |              2 | 
|       9981 |              3 | 
|       9981 |              4 | 
|       9981 |              5 | 
|       9981 |              6 | 
|       9981 |              7 | 
|       9981 |              8 | 
|       9981 |              9 | 
|       9981 |             10 | 
|       9981 |             11 | 
|       9981 |             12 | 
|       9981 |             13 | 
|       9982 |              0 | 
|       9982 |              1 | 
|       9982 |              2 | 
|       9982 |              3 | 
|       9982 |              4 | 
|       9982 |              5 | 
|       9982 |              6 | 
|       9982 |              7 | 
|       9982 |              8 | 
+------------+----------------+
85 rows in set (0.00 sec)

mysql> select runlet.run_number,segment_number from runlet, run  where run.run_id=runlet.run_id  and slug=44 and runlet.full_run='false' order by runlet.run_number, segment_number;
+------------+----------------+
| run_number | segment_number |
+------------+----------------+
|       9983 |              0 | 
|       9983 |              1 | 
|       9983 |              2 | 
|       9983 |              3 | 
|       9983 |              4 | 
|       9983 |              5 | 
|       9984 |              0 | 
|       9984 |              1 | 
|       9984 |              2 | 
|       9984 |              3 | 
|       9984 |              4 | 
|       9984 |              5 | 
|       9984 |              6 | 
|       9984 |              7 | 
|       9984 |              8 | 
|       9984 |              9 | 
|       9985 |              0 | 
|       9985 |              1 | 
|       9985 |              2 | 
|       9985 |              3 | 
|       9985 |              4 | 
|       9985 |              5 | 
|       9985 |              6 | 
|       9985 |              7 | 
|       9985 |              8 | 
|       9985 |              9 | 
|       9985 |             10 | 
|       9986 |              0 | 
|       9986 |              1 | 
|       9986 |              2 | 
|       9986 |              3 | 
|       9986 |              4 | 
|       9986 |              5 | 
|       9986 |              6 | 
|       9986 |              7 | 
|       9986 |              8 | 
|       9986 |              9 | 
|       9986 |             10 | 
|       9986 |             11 | 
|       9987 |              0 | 
|       9987 |              1 | 
|       9987 |              2 | 
|       9987 |              3 | 
|       9987 |              4 | 
|       9987 |              5 | 
|       9987 |              6 | 
|       9987 |              7 | 
|       9987 |              8 | 
|       9988 |              0 | 
|       9988 |              1 | 
|       9988 |              2 | 
|       9988 |              3 | 
|       9988 |              4 | 
|       9988 |              5 | 
|       9988 |              6 | 
|       9988 |              7 | 
|       9988 |              8 | 
|       9989 |              0 | 
|       9989 |              1 | 
|       9989 |              2 | 
|       9989 |              3 | 
|       9989 |              4 | 
|       9989 |              5 | 
|       9989 |              6 | 
|       9989 |              7 | 
|       9989 |              8 | 
|       9990 |              0 | 
|       9990 |              1 | 
|       9990 |              2 | 
|       9990 |              3 | 
|       9990 |              4 | 
|       9990 |              5 | 
+------------+----------------+
72 rows in set (0.01 sec)

mysql> select runlet.run_number,segment_number from runlet, run  where run.run_id=runlet.run_id  and runlet.full_run='false' and slug=44;+------------+----------------+
| run_number | segment_number |
+------------+----------------+
|       9983 |              0 | 
|       9983 |              1 | 
|       9983 |              2 | 
|       9983 |              3 | 
|       9983 |              4 | 
|       9983 |              5 | 
|       9984 |              0 | 
|       9984 |              1 | 
|       9984 |              2 | 
|       9984 |              3 | 
|       9984 |              4 | 
|       9984 |              5 | 
|       9984 |              6 | 
|       9984 |              7 | 
|       9984 |              8 | 
|       9984 |              9 | 
|       9985 |              0 | 
|       9985 |              1 | 
|       9985 |              2 | 
|       9985 |              3 | 
|       9985 |              4 | 
|       9985 |              5 | 
|       9985 |              6 | 
|       9985 |              7 | 
|       9985 |              8 | 
|       9985 |              9 | 
|       9985 |             10 | 
|       9986 |              0 | 
|       9986 |              1 | 
|       9986 |              2 | 
|       9986 |              3 | 
|       9986 |              4 | 
